,a_max,map_file,mean_distance,number_steps,proportion_cover,seed,type
0,10000,map_10000_0.2_0.tif,299.38057275122566,1000,0.2,1,real
1,10000,map_10000_0.2_0.tif,610.8969720560548,10000,0.2,1,real
2,10000,map_10000_0.2_1.tif,294.14659469716736,1000,0.2,2,real
3,10000,map_10000_0.2_1.tif,637.3109497701454,10000,0.2,2,real
4,10000,map_10000_0.2_2.tif,289.2940789915823,1000,0.2,3,real
5,10000,map_10000_0.2_2.tif,649.244115668303,10000,0.2,3,real
6,10000,map_10000_0.2_3.tif,301.4722839850994,1000,0.2,4,real
7,10000,map_10000_0.2_3.tif,610.0378281447545,10000,0.2,4,real
8,10000,map_10000_0.2_4.tif,287.62646950637327,1000,0.2,5,real
9,10000,map_10000_0.2_4.tif,609.3236904251505,10000,0.2,5,real
10,10000,map_10000_0.2_5.tif,294.56640601604045,1000,0.2,6,real
11,10000,map_10000_0.2_5.tif,649.9159220163306,10000,0.2,6,real
12,10000,map_10000_0.2_6.tif,305.5471261893625,1000,0.2,7,real
13,10000,map_10000_0.2_6.tif,643.7106565937491,10000,0.2,7,real
14,10000,map_10000_0.2_7.tif,304.118400045016,1000,0.2,8,real
15,10000,map_10000_0.2_7.tif,665.3475975019718,10000,0.2,8,real
16,10000,map_10000_0.2_8.tif,292.82618107106134,1000,0.2,9,real
17,10000,map_10000_0.2_8.tif,601.6730204757971,10000,0.2,9,real
18,10000,map_10000_0.2_9.tif,298.9098560683777,1000,0.2,10,real
19,10000,map_10000_0.2_9.tif,625.2059011631351,10000,0.2,10,real
20,10000,map_10000_0.4_0.tif,417.809885752107,1000,0.4,11,real
21,10000,map_10000_0.4_0.tif,1041.617729369638,10000,0.4,11,real
22,10000,map_10000_0.4_1.tif,403.34074719854834,1000,0.4,12,real
23,10000,map_10000_0.4_1.tif,1061.5881703257,10000,0.4,12,real
24,10000,map_10000_0.4_2.tif,397.11171720295346,1000,0.4,13,real
25,10000,map_10000_0.4_2.tif,1053.7972184810917,10000,0.4,13,real
26,10000,map_10000_0.4_3.tif,401.86276855347666,1000,0.4,14,real
27,10000,map_10000_0.4_3.tif,1060.7318953192373,10000,0.4,14,real
28,10000,map_10000_0.4_4.tif,413.79936814143707,1000,0.4,15,real
29,10000,map_10000_0.4_4.tif,1063.1398692944244,10000,0.4,15,real
30,10000,map_10000_0.4_5.tif,398.241135139322,1000,0.4,16,real
31,10000,map_10000_0.4_5.tif,1050.863131214163,10000,0.4,16,real
32,10000,map_10000_0.4_6.tif,404.73543091078454,1000,0.4,17,real
33,10000,map_10000_0.4_6.tif,1076.1841395003676,10000,0.4,17,real
34,10000,map_10000_0.4_7.tif,393.77680253872296,1000,0.4,18,real
35,10000,map_10000_0.4_7.tif,1014.9869971150895,10000,0.4,18,real
36,10000,map_10000_0.4_8.tif,402.45288441481006,1000,0.4,19,real
37,10000,map_10000_0.4_8.tif,1087.6502853637433,10000,0.4,19,real
38,10000,map_10000_0.4_9.tif,401.7444855805558,1000,0.4,20,real
39,10000,map_10000_0.4_9.tif,1062.0821019838882,10000,0.4,20,real
40,10000,map_10000_0.8_0.tif,582.329715312373,1000,0.8,21,real
41,10000,map_10000_0.8_0.tif,1744.6016336265582,10000,0.8,21,real
42,10000,map_10000_0.8_1.tif,577.6164296310233,1000,0.8,22,real
43,10000,map_10000_0.8_1.tif,1776.4668638498886,10000,0.8,22,real
44,10000,map_10000_0.8_2.tif,596.4438675794532,1000,0.8,23,real
45,10000,map_10000_0.8_2.tif,1808.0130689341438,10000,0.8,23,real
46,10000,map_10000_0.8_3.tif,571.3218675420133,1000,0.8,24,real
47,10000,map_10000_0.8_3.tif,1761.8079630600105,10000,0.8,24,real
48,10000,map_10000_0.8_4.tif,575.7271742487447,1000,0.8,25,real
49,10000,map_10000_0.8_4.tif,1732.7545802561328,10000,0.8,25,real
50,10000,map_10000_0.8_5.tif,574.6326741719113,1000,0.8,26,real
51,10000,map_10000_0.8_5.tif,1792.5832596655325,10000,0.8,26,real
52,10000,map_10000_0.8_6.tif,569.4095956774851,1000,0.8,27,real
53,10000,map_10000_0.8_6.tif,1771.1454180068695,10000,0.8,27,real
54,10000,map_10000_0.8_7.tif,571.0727689506218,1000,0.8,28,real
55,10000,map_10000_0.8_7.tif,1734.696064472389,10000,0.8,28,real
56,10000,map_10000_0.8_8.tif,563.0226022243132,1000,0.8,29,real
57,10000,map_10000_0.8_8.tif,1751.2539739036538,10000,0.8,29,real
58,10000,map_10000_0.8_9.tif,568.8004470761243,1000,0.8,30,real
59,10000,map_10000_0.8_9.tif,1759.8339457795914,10000,0.8,30,real
60,1000,map_1000_0.2_0.tif,280.1532552067578,1000,0.2,31,real
61,1000,map_1000_0.2_0.tif,751.857552286184,10000,0.2,31,real
62,1000,map_1000_0.2_1.tif,316.6753818862282,1000,0.2,32,real
63,1000,map_1000_0.2_1.tif,595.7715935175477,10000,0.2,32,real
64,1000,map_1000_0.2_2.tif,305.2779277972702,1000,0.2,33,real
65,1000,map_1000_0.2_2.tif,567.8382627764064,10000,0.2,33,real
66,1000,map_1000_0.2_3.tif,248.7401815776871,1000,0.2,34,real
67,1000,map_1000_0.2_3.tif,516.584829577996,10000,0.2,34,real
68,1000,map_1000_0.2_4.tif,317.8347192729362,1000,0.2,35,real
69,1000,map_1000_0.2_4.tif,770.6629675982812,10000,0.2,35,real
70,1000,map_1000_0.2_5.tif,268.5121237352065,1000,0.2,36,real
71,1000,map_1000_0.2_5.tif,600.690808281831,10000,0.2,36,real
72,1000,map_1000_0.2_6.tif,273.7480727590585,1000,0.2,37,real
73,1000,map_1000_0.2_6.tif,388.9623766042186,10000,0.2,37,real
74,1000,map_1000_0.2_7.tif,240.5251531167279,1000,0.2,38,real
75,1000,map_1000_0.2_7.tif,358.52176935743137,10000,0.2,38,real
76,1000,map_1000_0.2_8.tif,209.16017283875826,1000,0.2,39,real
77,1000,map_1000_0.2_8.tif,248.02769836369157,10000,0.2,39,real
78,1000,map_1000_0.2_9.tif,308.9953935366609,1000,0.2,40,real
79,1000,map_1000_0.2_9.tif,707.3051197420601,10000,0.2,40,real
80,1000,map_1000_0.4_0.tif,418.2433382518642,1000,0.4,41,real
81,1000,map_1000_0.4_0.tif,1255.8043452882455,10000,0.4,41,real
82,1000,map_1000_0.4_1.tif,415.242677138279,1000,0.4,42,real
83,1000,map_1000_0.4_1.tif,1256.777697170222,10000,0.4,42,real
84,1000,map_1000_0.4_2.tif,369.80505724832807,1000,0.4,43,real
85,1000,map_1000_0.4_2.tif,1041.4595898307984,10000,0.4,43,real
86,1000,map_1000_0.4_3.tif,412.15362641711994,1000,0.4,44,real
87,1000,map_1000_0.4_3.tif,1145.2620715181438,10000,0.4,44,real
88,1000,map_1000_0.4_4.tif,432.5223063703215,1000,0.4,45,real
89,1000,map_1000_0.4_4.tif,1107.2001499572593,10000,0.4,45,real
90,1000,map_1000_0.4_5.tif,357.9756263179794,1000,0.4,46,real
91,1000,map_1000_0.4_5.tif,851.8999079210346,10000,0.4,46,real
92,1000,map_1000_0.4_6.tif,388.289375081071,1000,0.4,47,real
93,1000,map_1000_0.4_6.tif,1107.6924884313426,10000,0.4,47,real
94,1000,map_1000_0.4_7.tif,394.7798234013369,1000,0.4,48,real
95,1000,map_1000_0.4_7.tif,1145.8244406717156,10000,0.4,48,real
96,1000,map_1000_0.4_8.tif,369.7341316784006,1000,0.4,49,real
97,1000,map_1000_0.4_8.tif,1081.6714560406876,10000,0.4,49,real
98,1000,map_1000_0.4_9.tif,376.9002773352987,1000,0.4,50,real
99,1000,map_1000_0.4_9.tif,767.7976325271477,10000,0.4,50,real
100,1000,map_1000_0.8_0.tif,571.9308233454057,1000,0.8,51,real
101,1000,map_1000_0.8_0.tif,1759.6623646059475,10000,0.8,51,real
102,1000,map_1000_0.8_1.tif,578.5915677318603,1000,0.8,52,real
103,1000,map_1000_0.8_1.tif,1849.6364807082966,10000,0.8,52,real
104,1000,map_1000_0.8_2.tif,580.6594995379623,1000,0.8,53,real
105,1000,map_1000_0.8_2.tif,1800.4547661209317,10000,0.8,53,real
106,1000,map_1000_0.8_3.tif,575.2118990751757,1000,0.8,54,real
107,1000,map_1000_0.8_3.tif,1792.5147086889363,10000,0.8,54,real
108,1000,map_1000_0.8_4.tif,539.8465138863814,1000,0.8,55,real
109,1000,map_1000_0.8_4.tif,1644.9557311157478,10000,0.8,55,real
110,1000,map_1000_0.8_5.tif,546.4513237287201,1000,0.8,56,real
111,1000,map_1000_0.8_5.tif,1724.0157162560245,10000,0.8,56,real
112,1000,map_1000_0.8_6.tif,573.3222523197078,1000,0.8,57,real
113,1000,map_1000_0.8_6.tif,1663.359986737101,10000,0.8,57,real
114,1000,map_1000_0.8_7.tif,559.8260290573281,1000,0.8,58,real
115,1000,map_1000_0.8_7.tif,1795.8484373388826,10000,0.8,58,real
116,1000,map_1000_0.8_8.tif,581.6753508620521,1000,0.8,59,real
117,1000,map_1000_0.8_8.tif,1856.4915386167045,10000,0.8,59,real
118,1000,map_1000_0.8_9.tif,592.2701969385244,1000,0.8,60,real
119,1000,map_1000_0.8_9.tif,1786.9757617238,10000,0.8,60,real
120,100,map_100_0.2_0.tif,520.7147338220891,1000,0.2,61,real
121,100,map_100_0.2_0.tif,1675.3749067452325,10000,0.2,61,real
122,100,map_100_0.2_1.tif,440.2976526902883,1000,0.2,62,real
123,100,map_100_0.2_1.tif,1417.4014069421162,10000,0.2,62,real
124,100,map_100_0.2_2.tif,469.94285271427105,1000,0.2,63,real
125,100,map_100_0.2_2.tif,1479.8456965867224,10000,0.2,63,real
126,100,map_100_0.2_3.tif,565.79275804636,1000,0.2,64,real
127,100,map_100_0.2_3.tif,1788.0097407032379,10000,0.2,64,real
128,100,map_100_0.2_4.tif,448.17162286557374,1000,0.2,65,real
129,100,map_100_0.2_4.tif,1402.8867295176626,10000,0.2,65,real
130,100,map_100_0.2_5.tif,422.6755830156118,1000,0.2,66,real
131,100,map_100_0.2_5.tif,1329.9816193554047,10000,0.2,66,real
132,100,map_100_0.2_6.tif,459.58586988960724,1000,0.2,67,real
133,100,map_100_0.2_6.tif,1431.6886221110776,10000,0.2,67,real
134,100,map_100_0.2_7.tif,459.41073093146116,1000,0.2,68,real
135,100,map_100_0.2_7.tif,1418.8561906139937,10000,0.2,68,real
136,100,map_100_0.2_8.tif,509.2671473143968,1000,0.2,69,real
137,100,map_100_0.2_8.tif,1595.32848909643,10000,0.2,69,real
138,100,map_100_0.2_9.tif,487.27122564465157,1000,0.2,70,real
139,100,map_100_0.2_9.tif,1507.3021334552798,10000,0.2,70,real
140,100,map_100_0.4_0.tif,506.01376663412475,1000,0.4,71,real
141,100,map_100_0.4_0.tif,1609.6028963033527,10000,0.4,71,real
142,100,map_100_0.4_1.tif,506.6698430563749,1000,0.4,72,real
143,100,map_100_0.4_1.tif,1603.5983496280523,10000,0.4,72,real
144,100,map_100_0.4_2.tif,523.5372591064094,1000,0.4,73,real
145,100,map_100_0.4_2.tif,1578.5616911310096,10000,0.4,73,real
146,100,map_100_0.4_3.tif,538.0778985586037,1000,0.4,74,real
147,100,map_100_0.4_3.tif,1803.1299734858278,10000,0.4,74,real
148,100,map_100_0.4_4.tif,480.3523661592628,1000,0.4,75,real
149,100,map_100_0.4_4.tif,1510.216825832429,10000,0.4,75,real
150,100,map_100_0.4_5.tif,551.0458850506576,1000,0.4,76,real
151,100,map_100_0.4_5.tif,1757.5938539343938,10000,0.4,76,real
152,100,map_100_0.4_6.tif,461.61064233842114,1000,0.4,77,real
153,100,map_100_0.4_6.tif,1468.7064083494886,10000,0.4,77,real
154,100,map_100_0.4_7.tif,547.1623828258417,1000,0.4,78,real
155,100,map_100_0.4_7.tif,1768.5080760351188,10000,0.4,78,real
156,100,map_100_0.4_8.tif,523.5080704676463,1000,0.4,79,real
157,100,map_100_0.4_8.tif,1669.599669270034,10000,0.4,79,real
158,100,map_100_0.4_9.tif,598.4379374276009,1000,0.4,80,real
159,100,map_100_0.4_9.tif,1843.5113995617414,10000,0.4,80,real
160,100,map_100_0.8_0.tif,606.5892780400264,1000,0.8,81,real
161,100,map_100_0.8_0.tif,1925.3304196143554,10000,0.8,81,real
162,100,map_100_0.8_1.tif,616.6539935988831,1000,0.8,82,real
163,100,map_100_0.8_1.tif,1952.0195058156664,10000,0.8,82,real
164,100,map_100_0.8_2.tif,616.7482697458024,1000,0.8,83,real
165,100,map_100_0.8_2.tif,1974.1632733419924,10000,0.8,83,real
166,100,map_100_0.8_3.tif,650.0114307528427,1000,0.8,84,real
167,100,map_100_0.8_3.tif,1958.0633815965587,10000,0.8,84,real
168,100,map_100_0.8_4.tif,621.4415328033208,1000,0.8,85,real
169,100,map_100_0.8_4.tif,1941.8572077668919,10000,0.8,85,real
170,100,map_100_0.8_5.tif,620.5377870786102,1000,0.8,86,real
171,100,map_100_0.8_5.tif,1976.4045902060845,10000,0.8,86,real
172,100,map_100_0.8_6.tif,609.6392027664168,1000,0.8,87,real
173,100,map_100_0.8_6.tif,1981.7202760891996,10000,0.8,87,real
174,100,map_100_0.8_7.tif,619.035096609519,1000,0.8,88,real
175,100,map_100_0.8_7.tif,1948.8143373141,10000,0.8,88,real
176,100,map_100_0.8_8.tif,606.2261742871253,1000,0.8,89,real
177,100,map_100_0.8_8.tif,1956.0757210252011,10000,0.8,89,real
178,100,map_100_0.8_9.tif,634.7241853904401,1000,0.8,90,real
179,100,map_100_0.8_9.tif,1994.5892686854024,10000,0.8,90,real
180,10000,random_10000_0.2_0.tif,610.0771167367006,1000,0.2,91,random
181,10000,random_10000_0.2_0.tif,2013.5325158468117,10000,0.2,91,random
182,10000,random_10000_0.2_1.tif,639.845388714158,1000,0.2,92,random
183,10000,random_10000_0.2_1.tif,1998.1172501980113,10000,0.2,92,random
184,10000,random_10000_0.2_2.tif,639.8800036618545,1000,0.2,93,random
185,10000,random_10000_0.2_2.tif,2014.9894873894211,10000,0.2,93,random
186,10000,random_10000_0.2_3.tif,619.7708208912525,1000,0.2,94,random
187,10000,random_10000_0.2_3.tif,2005.5525362689677,10000,0.2,94,random
188,10000,random_10000_0.2_4.tif,630.9273129210255,1000,0.2,95,random
189,10000,random_10000_0.2_4.tif,1942.934226348702,10000,0.2,95,random
190,10000,random_10000_0.2_5.tif,631.6376693456962,1000,0.2,96,random
191,10000,random_10000_0.2_5.tif,1987.9345290949416,10000,0.2,96,random
192,10000,random_10000_0.2_6.tif,623.3375335225716,1000,0.2,97,random
193,10000,random_10000_0.2_6.tif,1987.513460183026,10000,0.2,97,random
194,10000,random_10000_0.2_7.tif,627.0241226228417,1000,0.2,98,random
195,10000,random_10000_0.2_7.tif,2059.1535246956173,10000,0.2,98,random
196,10000,random_10000_0.2_8.tif,638.6010857007778,1000,0.2,99,random
197,10000,random_10000_0.2_8.tif,1965.2193192344857,10000,0.2,99,random
198,10000,random_10000_0.2_9.tif,629.3165664438612,1000,0.2,100,random
199,10000,random_10000_0.2_9.tif,1981.2167946863733,10000,0.2,100,random
200,10000,random_10000_0.4_0.tif,617.4283683239898,1000,0.4,101,random
201,10000,random_10000_0.4_0.tif,1977.3862645429845,10000,0.4,101,random
202,10000,random_10000_0.4_1.tif,648.3386068564229,1000,0.4,102,random
203,10000,random_10000_0.4_1.tif,2034.0968441354266,10000,0.4,102,random
204,10000,random_10000_0.4_2.tif,613.366462733169,1000,0.4,103,random
205,10000,random_10000_0.4_2.tif,1996.2926434675787,10000,0.4,103,random
