,file,job_type,richness,seed,sigma,speciation_rate,type
0,data/map_50_0.2_0.tif,1,8,1,2,0.0001,real
1,data/map_50_0.2_0.tif,1,10,1,2,0.001,real
2,data/map_50_0.2_0.tif,1,33,1,2,0.01,real
3,data/map_50_0.2_0.tif,1,141,1,2,0.1,real
4,data/map_50_0.2_0.tif,1,9,2,4,0.0001,real
5,data/map_50_0.2_0.tif,1,14,2,4,0.001,real
6,data/map_50_0.2_0.tif,1,49,2,4,0.01,real
7,data/map_50_0.2_0.tif,1,165,2,4,0.1,real
8,data/map_50_0.2_0.tif,1,20,3,8,0.0001,real
9,data/map_50_0.2_0.tif,1,31,3,8,0.001,real
10,data/map_50_0.2_0.tif,1,68,3,8,0.01,real
11,data/map_50_0.2_0.tif,1,180,3,8,0.1,real
12,data/map_50_0.2_0.tif,1,75,4,16,0.0001,real
13,data/map_50_0.2_0.tif,1,100,4,16,0.001,real
14,data/map_50_0.2_0.tif,1,158,4,16,0.01,real
15,data/map_50_0.2_0.tif,1,266,4,16,0.1,real
16,data/map_50_0.2_0.tif,1,184,5,32,0.0001,real
17,data/map_50_0.2_0.tif,1,210,5,32,0.001,real
18,data/map_50_0.2_0.tif,1,265,5,32,0.01,real
19,data/map_50_0.2_0.tif,1,338,5,32,0.1,real
